Catalog No,Box Number,Collection,Collector/Creator,Taxon/Item,Acquisition/Donar,Date Collected,Locality,Location,State,Country,Specimen Count,Specimen Nature,Database
CMNA 1900-2910,,Annelid,Frits Johansen,Ampharete eupalea,Canadian Arctic Expedition,1913-08-19,Blossom Shoals,,Alaska,USA,1,,Specimen
CMNA 1900-2911,,Annelid,Frits Johansen,Ampharete johanseni,Canadian Arctic Expedition,1913-10-03,Camden Bay,Beaufort Sea,Alaska,USA,1,,Specimen
CMNA 1900-2912,,Annelid,Frits Johansen,Ampharete reducta,Canadian Arctic Expedition,1913-10-03,Camden Bay,Beaufort Sea,Alaska,USA,3,,Specimen
CMNA 1900-2914,,Annelid,Frits Johansen,Arctonoe lia,Canadian Arctic Expedition,1913-08-04,Granite Harbor,Bering Strait,Alaska,USA,4,,Specimen
CMNA 1900-8295,,Annelid,Frits Johansen,Malmiana scropii,Canadian Arctic Expedition,1915-09-22,Inner Harbour,Dolphin and Union Strait,Northwest Territories & Nunavut,Canada,2,,Specimen
CMNA 1900-8296,,Annelid,Frits Johansen,Malmiana scropii,Canadian Arctic Expedition,1916-06-15,Inner Harbour,Dolphin and Union Strait,Northwest Territories & Nunavut,Canada,5,,Specimen
CMNA 1900-8298,,Annelid,Frits Johansen,Oxytonostoma typica,Canadian Arctic Expedition,1915-07-20,Outer Harbour,Dolphin and Union Strait,Northwest Territories & Nunavut,Canada,1,,Specimen
CMNA 1900-8366,,Annelid,Frits Johansen,Anaspio boreus,Canadian Arctic Expedition,1913-09-20,Lagoon,,,,1,,Specimen
CMNA 1900-8367,,Annelid,Frits Johansen,Spio mimus,Canadian Arctic Expedition,1913-09-20,Lagoon,,,,1,,Specimen
CMNA 1900-8368,,Annelid,Frits Johansen,Scolecolepides arcticus,Canadian Arctic Expedition,1913-09-20,Lagoon,,,,1,,Specimen
CMNAC 1992-001-001,1,,Rudolph M. Anderson,Field Notes of Rudolph M. Anderson,Rudolph M. Anderson,May 1913 to September 1913,Canadian Museum of Nature,Ottawa,Ontario,Canada,,Document,Archival
